TestNo,TestName
1,com.fasterxml.jackson.core.io.TestCharTypes
2,com.fasterxml.jackson.core.util.TestCharTypes
3,com.fasterxml.jackson.core.io.SegmentedStringWriterTest
4,com.fasterxml.jackson.core.util.ByteArrayBuilderTest
5,com.fasterxml.jackson.core.type.TypeReferenceTest
6,com.fasterxml.jackson.core.util.TestSerializedString
7,com.fasterxml.jackson.core.base64.TestBase64Codec
8,com.fasterxml.jackson.core.io.TestIOContext
9,com.fasterxml.jackson.core.io.TestMergedStream
10,com.fasterxml.jackson.core.io.UTF8WriterTest
11,com.fasterxml.jackson.core.util.TestVersionUtil
12,com.fasterxml.jackson.core.json.TestLocation
13,com.fasterxml.jackson.core.json.GeneratorFailTest
14,com.fasterxml.jackson.core.json.ParserSequenceTest
15,com.fasterxml.jackson.core.TestJsonPointer
16,com.fasterxml.jackson.core.io.TestJDKSerializable
17,com.fasterxml.jackson.core.json.TestCustomEscaping
18,com.fasterxml.jackson.core.json.TestParserOverrides
19,com.fasterxml.jackson.core.json.TestUnicode
20,com.fasterxml.jackson.core.json.TestParserSymbols
21,com.fasterxml.jackson.core.main.TestParserLinefeeds
22,com.fasterxml.jackson.core.json.TestDecorators
23,com.fasterxml.jackson.core.json.TestGeneratorWithSerializedString
24,com.fasterxml.jackson.core.main.TestParserClosing
25,com.fasterxml.jackson.core.util.TestTextBuffer
26,com.fasterxml.jackson.core.TestVersions
27,com.fasterxml.jackson.core.format.TestJsonFormatDetection
28,com.fasterxml.jackson.core.json.TestCharEscaping
29,com.fasterxml.jackson.core.json.TestParserDupHandling
30,com.fasterxml.jackson.core.main.TestParserWithObjects
31,com.fasterxml.jackson.core.json.TestParserErrorHandling
32,com.fasterxml.jackson.core.base64.TestBase64Generation
33,com.fasterxml.jackson.core.json.LocationInObjectTest
34,com.fasterxml.jackson.core.json.TestJsonGeneratorFeatures
35,com.fasterxml.jackson.core.json.TestValueConversions
36,com.fasterxml.jackson.core.sym.TestSymbolsWithMediaItem
37,com.fasterxml.jackson.core.main.TestArrayParsing
38,com.fasterxml.jackson.core.main.TestGeneratorArray
39,com.fasterxml.jackson.core.main.TestScopeMatching
40,com.fasterxml.jackson.core.sym.TestHashCollisionChars
41,com.fasterxml.jackson.core.filter.JsonPointerParserFilteringTest
42,com.fasterxml.jackson.core.json.TestGeneratorDupHandling
43,com.fasterxml.jackson.core.json.TestUtf8Parser
44,com.fasterxml.jackson.core.main.TestGeneratorCopy
45,com.fasterxml.jackson.core.main.TestParserFeatures
46,com.fasterxml.jackson.core.json.TestRootValues
47,com.fasterxml.jackson.core.main.TestGeneratorClosing
48,com.fasterxml.jackson.core.sym.TestByteBasedSymbols
49,com.fasterxml.jackson.core.sym.SymbolTableMergingTest
50,com.fasterxml.jackson.core.filter.JsonPointerGeneratorFilteringTest
51,com.fasterxml.jackson.core.base64.TestJsonParserBinary
52,com.fasterxml.jackson.core.main.TestPrettyPrinter
53,com.fasterxml.jackson.core.util.TestDelegates
54,com.fasterxml.jackson.core.util.TestDefaultPrettyPrinter
55,com.fasterxml.jackson.core.filter.BasicParserFilteringTest
56,com.fasterxml.jackson.core.json.JsonFactoryTest
57,com.fasterxml.jackson.core.json.TestComments
58,com.fasterxml.jackson.core.TestExceptions
59,com.fasterxml.jackson.core.filter.BasicGeneratorFilteringTest
60,com.fasterxml.jackson.core.json.TestUtf8Generator
61,com.fasterxml.jackson.core.main.TestGeneratorObject
62,com.fasterxml.jackson.core.sym.SymbolsViaParserTest
63,com.fasterxml.jackson.core.json.TestParserNonStandard
64,com.fasterxml.jackson.core.json.GeneratorBasicTest
65,com.fasterxml.jackson.core.json.LocationInArrayTest
66,com.fasterxml.jackson.core.json.TestJsonParser
67,com.fasterxml.jackson.core.io.TestJsonStringEncoder
68,com.fasterxml.jackson.core.json.TestWithTonsaSymbols
69,com.fasterxml.jackson.core.TestJDKSerializability
70,com.fasterxml.jackson.core.base64.TestBase64Parsing
71,com.fasterxml.jackson.core.json.TestNumericValues
72,com.fasterxml.jackson.core.main.TestNumberParsing
73,com.fasterxml.jackson.core.main.TestRawStringWriting
74,com.fasterxml.jackson.core.util.TestNumberPrinting
75,com.fasterxml.jackson.core.sym.TestSymbolTables
76,com.fasterxml.jackson.core.json.TestNextXxx
77,com.fasterxml.jackson.core.main.TestGeneratorMisc
78,com.fasterxml.jackson.core.json.StringGenerationTest
