MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,LIVE
5,LIVE
6,LIVE
7,FAIL
8,LIVE
9,EXC
10,EXC
11,FAIL
12,LIVE
13,FAIL
14,LIVE
15,FAIL
16,EXC
17,EXC
18,FAIL
19,FAIL
20,EXC
21,EXC
22,FAIL
23,FAIL
24,FAIL
25,FAIL
26,FAIL
27,EXC
28,EXC
29,FAIL
30,EXC
31,FAIL
32,EXC
33,FAIL
34,EXC
35,LIVE
36,FAIL
37,FAIL
38,EXC
39,EXC
40,EXC
41,EXC
42,EXC
43,EXC
44,EXC
45,EXC
46,EXC
47,FAIL
48,EXC
49,EXC
50,EXC
51,EXC
52,EXC
53,EXC
54,EXC
55,EXC
56,EXC
57,EXC
58,EXC
59,EXC
60,EXC
61,EXC
62,EXC
63,EXC
64,EXC
65,EXC
66,EXC
67,EXC
68,EXC
69,LIVE
70,EXC
71,FAIL
72,LIVE
73,FAIL
74,EXC
75,LIVE
76,LIVE
77,FAIL
78,LIVE
79,FAIL
80,LIVE
81,LIVE
82,EXC
83,FAIL
84,FAIL
85,FAIL
86,FAIL
87,EXC
88,EXC
89,FAIL
90,EXC
91,FAIL
92,EXC
93,FAIL
94,EXC
95,FAIL
96,EXC
97,FAIL
98,EXC
99,FAIL
100,LIVE
101,EXC
102,LIVE
103,EXC
104,EXC
105,EXC
106,LIVE
107,FAIL
108,FAIL
109,EXC
110,EXC
111,EXC
112,LIVE
113,FAIL
114,FAIL
115,EXC
116,LIVE
117,LIVE
118,LIVE
119,FAIL
120,FAIL
121,LIVE
122,FAIL
123,FAIL
124,FAIL
125,FAIL
126,FAIL
127,FAIL
128,FAIL
129,FAIL
130,LIVE
131,EXC
132,EXC
133,FAIL
134,FAIL
135,EXC
136,FAIL
137,FAIL
138,LIVE
139,LIVE
140,LIVE
141,FAIL
142,FAIL
143,FAIL
144,LIVE
145,FAIL
146,FAIL
147,FAIL
148,FAIL
149,FAIL
150,FAIL
151,FAIL
152,FAIL
153,FAIL
