MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,EXC
4,LIVE
5,FAIL
6,EXC
7,EXC
8,FAIL
9,LIVE
10,EXC
11,EXC
12,FAIL
13,FAIL
14,EXC
15,FAIL
16,LIVE
17,LIVE
18,FAIL
19,EXC
20,FAIL
21,EXC
22,EXC
23,FAIL
24,FAIL
25,EXC
26,FAIL
27,FAIL
28,FAIL
29,FAIL
30,FAIL
31,FAIL
32,EXC
33,FAIL
34,EXC
35,FAIL
36,FAIL
37,EXC
38,FAIL
39,FAIL
40,EXC
41,LIVE
42,LIVE
43,EXC
44,FAIL
45,FAIL
46,EXC
47,EXC
48,LIVE
49,EXC
50,EXC
51,FAIL
52,EXC
53,EXC
54,LIVE
55,FAIL
56,EXC
57,FAIL
58,LIVE
59,LIVE
60,FAIL
61,EXC
62,FAIL
63,EXC
64,FAIL
65,FAIL
66,FAIL
67,FAIL
68,FAIL
69,FAIL
70,FAIL
71,FAIL
72,EXC
73,FAIL
74,FAIL
75,LIVE
76,FAIL
77,FAIL
78,FAIL
79,FAIL
80,FAIL
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,LIVE
86,FAIL
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,LIVE
101,FAIL
102,FAIL
103,FAIL
104,LIVE
105,FAIL
106,LIVE
107,FAIL
108,FAIL
109,FAIL
110,LIVE
111,EXC
112,EXC
113,FAIL
114,LIVE
115,EXC
116,LIVE
117,EXC
118,FAIL
119,FAIL
120,EXC
121,FAIL
122,LIVE
123,FAIL
124,LIVE
125,FAIL
126,EXC
127,FAIL
128,EXC
129,EXC
130,FAIL
131,EXC
132,FAIL
133,FAIL
134,LIVE
135,LIVE
136,LIVE
137,LIVE
138,LIVE
139,FAIL
140,LIVE
141,FAIL
142,LIVE
143,EXC
144,EXC
145,EXC
146,EXC
147,EXC
148,EXC
149,EXC
150,FAIL
151,EXC
152,EXC
153,FAIL
154,EXC
155,EXC
156,FAIL
157,EXC
158,FAIL
159,EXC
160,FAIL
161,FAIL
162,EXC
163,EXC
164,EXC
165,EXC
166,EXC
167,EXC
168,EXC
169,EXC
170,FAIL
171,LIVE
172,LIVE
173,LIVE
174,EXC
175,EXC
176,LIVE
177,LIVE
178,FAIL
179,EXC
180,EXC
181,FAIL
182,EXC
183,FAIL
184,EXC
185,EXC
186,LIVE
187,EXC
188,EXC
189,EXC
