MutantNo,[FAIL | TIME | EXC | LIVE]
1,LIVE
2,LIVE
3,LIVE
4,EXC
5,EXC
6,EXC
7,EXC
8,EXC
9,LIVE
10,LIVE
11,FAIL
12,FAIL
13,FAIL
14,EXC
15,FAIL
16,LIVE
17,LIVE
18,FAIL
19,LIVE
20,FAIL
21,LIVE
22,FAIL
23,FAIL
24,EXC
25,LIVE
26,FAIL
27,LIVE
28,LIVE
29,FAIL
30,EXC
32,EXC
33,EXC
34,LIVE
35,LIVE
36,EXC
37,LIVE
38,FAIL
39,EXC
40,FAIL
41,FAIL
42,EXC
43,LIVE
44,EXC
45,EXC
46,EXC
47,EXC
48,EXC
49,EXC
50,EXC
51,FAIL
52,EXC
53,EXC
54,EXC
55,FAIL
56,LIVE
57,EXC
58,EXC
59,FAIL
60,EXC
61,EXC
62,EXC
63,EXC
64,EXC
65,FAIL
66,EXC
67,EXC
68,EXC
69,EXC
70,FAIL
71,EXC
72,LIVE
73,EXC
74,EXC
75,EXC
76,LIVE
77,EXC
78,FAIL
79,FAIL
80,EXC
81,LIVE
82,EXC
83,EXC
84,EXC
85,EXC
86,EXC
87,EXC
88,LIVE
89,EXC
90,EXC
91,FAIL
92,EXC
93,FAIL
94,FAIL
95,EXC
96,FAIL
109,FAIL
110,LIVE
111,EXC
112,LIVE
113,EXC
114,LIVE
115,LIVE
116,EXC
117,LIVE
118,FAIL
119,FAIL
120,EXC
121,FAIL
122,FAIL
123,EXC
124,EXC
125,FAIL
126,LIVE
128,FAIL
129,EXC
130,LIVE
131,LIVE
132,LIVE
133,LIVE
134,EXC
135,LIVE
136,LIVE
137,EXC
138,LIVE
141,EXC
142,LIVE
143,LIVE
144,EXC
145,LIVE
146,EXC
147,EXC
148,FAIL
149,LIVE
150,FAIL
151,FAIL
