MutantNo,[FAIL | TIME | EXC | LIVE]
1,FAIL
2,FAIL
3,LIVE
4,FAIL
5,TIME
6,FAIL
7,LIVE
8,EXC
9,FAIL
10,FAIL
11,FAIL
13,FAIL
17,FAIL
18,FAIL
24,FAIL
29,FAIL
30,FAIL
35,FAIL
41,FAIL
42,FAIL
43,FAIL
44,EXC
45,EXC
46,EXC
47,EXC
48,FAIL
49,LIVE
50,FAIL
51,FAIL
52,LIVE
53,FAIL
57,FAIL
58,EXC
59,FAIL
60,FAIL
61,FAIL
62,LIVE
63,LIVE
64,LIVE
65,FAIL
68,EXC
69,EXC
70,LIVE
71,EXC
72,FAIL
74,LIVE
75,FAIL
76,FAIL
77,FAIL
78,EXC
79,FAIL
80,LIVE
81,FAIL
82,FAIL
83,FAIL
84,FAIL
85,FAIL
86,EXC
87,FAIL
88,FAIL
89,FAIL
90,FAIL
91,FAIL
92,FAIL
93,FAIL
94,FAIL
95,FAIL
96,FAIL
97,FAIL
98,FAIL
99,FAIL
100,FAIL
101,FAIL
102,FAIL
103,FAIL
104,LIVE
105,LIVE
111,FAIL
112,LIVE
113,FAIL
114,FAIL
116,FAIL
117,FAIL
118,FAIL
119,TIME
120,LIVE
121,EXC
122,FAIL
123,LIVE
124,FAIL
125,FAIL
126,LIVE
127,LIVE
128,LIVE
129,FAIL
132,EXC
133,FAIL
134,EXC
135,LIVE
136,FAIL
147,FAIL
148,LIVE
149,LIVE
150,FAIL
153,FAIL
154,LIVE
158,EXC
159,FAIL
160,LIVE
161,LIVE
162,LIVE
163,LIVE
164,FAIL
165,FAIL
166,LIVE
167,FAIL
168,FAIL
169,FAIL
172,EXC
173,FAIL
174,EXC
175,LIVE
176,FAIL
187,FAIL
188,LIVE
189,FAIL
190,FAIL
193,FAIL
194,LIVE
198,LIVE
199,LIVE
200,LIVE
201,FAIL
202,FAIL
203,LIVE
204,LIVE
205,LIVE
206,FAIL
208,LIVE
209,LIVE
212,LIVE
213,FAIL
214,FAIL
218,LIVE
219,LIVE
220,LIVE
223,LIVE
224,LIVE
229,LIVE
230,LIVE
231,LIVE
232,LIVE
237,LIVE
238,LIVE
242,LIVE
243,LIVE
244,LIVE
245,LIVE
246,LIVE
247,LIVE
248,LIVE
249,FAIL
250,LIVE
251,LIVE
254,LIVE
255,FAIL
292,LIVE
293,FAIL
294,LIVE
295,LIVE
301,LIVE
302,FAIL
353,FAIL
354,FAIL
355,FAIL
